return_id,order_id,item_id,reason,return_status,requested_date,resolved_date,refund_amount,notes
856536,586003,654616,not_as_described,approved,2023-03-15,2023-04-02,,Customer requested full refund
835988,538604,661758,changed_mind,rejected,2023-08-01,2023-08-10,,Item arrived in poor condition
810736,559691,692382,wrong_item_sent,refunded,2022-03-12,2022-03-20,276.2,Item arrived in poor condition
887912,503006,618274,changed_mind,refunded,2022-08-20,2022-08-27,96.38,
872173,512093,608663,changed_mind,refunded,2021-02-13,2021-02-18,1022.62,Customer preferred different colour
892599,503651,654055,changed_mind,rejected,2021-06-17,2021-06-23,,
894491,553895,619872,wrong_item_sent,rejected,2024-05-11,2024-05-19,,
864566,599867,629653,duplicate_order,refunded,2022-03-22,2022-03-26,231.65,
804284,548564,617425,not_as_described,refunded,2024-05-13,2024-05-17,287.24,
886554,514417,665218,changed_mind,refunded,2023-08-27,2023-09-05,234.47,
889972,516883,682446,wrong_item_sent,requested,2024-02-04,,,
808806,539882,631005,defective_product,approved,2022-01-30,2022-02-07,,Item arrived in poor condition
829618,510144,689866,changed_mind,received,2022-05-14,2022-05-17,,
857110,520836,621723,changed_mind,received,2022-05-03,2022-05-10,,Customer preferred different colour
849101,538796,616215,not_as_described,refunded,2024-09-08,2024-09-16,515.67,Wrong size delivered
880969,511726,649775,duplicate_order,rejected,2023-10-03,2023-10-15,,Wrong size delivered
846801,575012,639917,arrived_damaged,refunded,2022-05-21,2022-05-28,928.89,
854074,542909,614999,wrong_item_sent,refunded,2022-04-24,2022-04-27,311.71,Item stopped working after 2 days
885865,581933,661638,changed_mind,received,2022-02-18,2022-02-24,,
828167,538482,666146,not_as_described,refunded,2021-07-25,2021-08-04,332.02,
844070,527017,682614,duplicate_order,refunded,2021-02-28,2021-03-11,786.62,Wrong size delivered
843266,549142,672198,changed_mind,refunded,2021-01-25,2021-01-29,104.74,Packaging was damaged
829814,538470,693085,changed_mind,received,2022-09-29,2022-10-03,,
814937,593751,663443,changed_mind,received,2024-05-07,2024-05-08,,Item stopped working after 2 days
837686,591003,634678,defective_product,requested,2023-05-12,,,Customer requested full refund
801149,512883,613194,changed_mind,rejected,2022-03-08,2022-03-19,,Item arrived in poor condition
871518,573423,632968,wrong_item_sent,approved,2022-05-21,2022-06-01,,
818175,549498,610624,arrived_damaged,rejected,2024-03-08,2024-03-21,,
842619,520941,640841,changed_mind,refunded,2023-09-16,2023-09-28,104.83,Packaging was damaged
847377,503547,669518,duplicate_order,received,2022-02-07,2022-02-14,,Customer requested full refund
841122,508014,668993,wrong_item_sent,approved,2021-08-22,2021-09-03,,
845234,551018,625929,changed_mind,refunded,2022-05-30,2022-06-11,301.67,Customer preferred different colour
880744,580513,643017,duplicate_order,refunded,2024-05-27,2024-06-02,385.4,Item stopped working after 2 days
837622,528316,686046,arrived_damaged,received,2021-02-22,2021-02-28,,
854237,579717,678741,changed_mind,refunded,2023-03-24,2023-03-28,195.14,Customer requested full refund
830556,530843,602052,duplicate_order,refunded,2021-12-07,2021-12-10,257.88,
820174,517784,663565,arrived_damaged,approved,2021-06-01,2021-06-18,,Item arrived in poor condition
849531,592598,607814,changed_mind,approved,2021-10-30,2021-11-09,,
874624,552970,657694,not_as_described,refunded,2023-10-22,2023-10-29,47.6,
882934,585445,677223,not_as_described,rejected,2023-10-15,2023-10-19,,Packaging was damaged
816233,543517,657955,arrived_damaged,approved,2024-01-03,2024-01-23,,Item stopped working after 2 days
893081,552799,611899,not_as_described,refunded,2024-06-25,2024-07-01,624.92,
804366,553317,669299,changed_mind,received,2021-11-18,2021-11-25,,
828913,534862,685587,defective_product,rejected,2022-09-03,2022-09-07,,
864080,592678,697807,defective_product,approved,2024-04-21,2024-05-04,,
836821,598963,641982,arrived_damaged,refunded,2023-05-16,2023-05-23,704.86,Customer preferred different colour
869926,525380,679025,defective_product,refunded,2024-07-28,2024-08-07,573.94,
850678,527514,685519,duplicate_order,received,2023-04-23,2023-04-29,,
857465,504312,647361,not_as_described,rejected,2024-07-03,2024-07-11,,Item stopped working after 2 days
806726,545687,646071,changed_mind,approved,2024-03-01,2024-03-10,,
801049,594098,676532,changed_mind,approved,2023-06-19,2023-07-01,,Item stopped working after 2 days
833335,566278,622224,defective_product,requested,2022-07-04,,,
861765,519873,673128,not_as_described,rejected,2023-10-11,2023-10-19,,Item stopped working after 2 days
807451,577663,617988,wrong_item_sent,requested,2022-09-29,,,
828512,552436,608057,arrived_damaged,refunded,2022-06-07,2022-06-13,299.64,Wrong size delivered
873568,591752,690699,not_as_described,received,2023-11-12,2023-11-18,,
836525,544993,684451,changed_mind,refunded,2023-01-02,2023-01-09,12.51,Packaging was damaged
826726,501823,604285,wrong_item_sent,received,2022-09-13,2022-09-19,,Packaging was damaged
844990,551596,695020,defective_product,received,2024-05-14,2024-05-20,,
869867,535182,611525,defective_product,rejected,2024-08-08,2024-08-21,,
813481,560632,604710,wrong_item_sent,approved,2022-02-11,2022-02-19,,
821570,511141,674849,wrong_item_sent,refunded,2023-12-26,2024-01-07,280.51,Item arrived in poor condition
842141,571614,661169,changed_mind,received,2021-07-21,2021-07-27,,
849007,513462,670041,duplicate_order,refunded,2023-05-20,2023-05-25,58.2,Customer preferred different colour
866905,522553,682066,arrived_damaged,rejected,2022-10-30,2022-11-10,,Customer preferred different colour
891856,592335,602229,arrived_damaged,refunded,2022-08-27,2022-09-10,300.04,
812083,575478,621541,arrived_damaged,received,2021-02-20,2021-02-22,,
810903,522962,611979,defective_product,refunded,2021-12-28,2022-01-02,6.89,Customer preferred different colour
801723,597454,681273,wrong_item_sent,refunded,2021-12-05,2021-12-15,319.87,
808465,523794,633494,wrong_item_sent,rejected,2023-08-16,2023-08-25,,Wrong size delivered
821735,551891,649145,defective_product,refunded,2021-03-21,2021-03-28,484.93,Item arrived in poor condition
855014,542187,691703,arrived_damaged,refunded,2022-12-20,2023-01-02,509.08,
808157,518258,613159,arrived_damaged,approved,2024-04-05,2024-04-23,,
835009,541651,684566,arrived_damaged,rejected,2024-05-15,2024-05-26,,Wrong size delivered
842463,593109,673328,not_as_described,rejected,2022-10-05,2022-10-11,,
883683,508593,692930,defective_product,received,2024-02-26,2024-03-03,,Customer requested full refund
810881,592522,626606,arrived_damaged,refunded,2022-09-13,2022-09-21,775.58,Customer requested full refund
859185,547938,654521,defective_product,approved,2022-03-28,2022-04-17,,Customer preferred different colour
874367,514417,665032,wrong_item_sent,refunded,2023-08-18,2023-08-21,197.75,
807476,585436,681005,arrived_damaged,rejected,2022-03-13,2022-03-19,,
810845,592038,610544,not_as_described,approved,2023-07-20,2023-08-09,,Item arrived in poor condition
848232,552852,621917,changed_mind,refunded,2022-03-05,2022-03-08,410.99,
812012,538296,611812,changed_mind,approved,2024-04-22,2024-05-11,,
897975,542267,619624,wrong_item_sent,refunded,2024-01-05,2024-01-13,481.39,Packaging was damaged
858677,564341,609660,duplicate_order,refunded,2022-03-10,2022-03-19,298.4,
842754,572189,604041,arrived_damaged,refunded,2022-01-06,2022-01-13,1053.52,Customer requested full refund
869915,554926,667377,not_as_described,refunded,2022-01-04,2022-01-08,739.06,Wrong size delivered
858692,512258,617621,defective_product,refunded,2022-02-02,2022-02-08,348.5,
899858,543583,623340,changed_mind,requested,2022-10-30,,,Packaging was damaged
828826,516557,601496,wrong_item_sent,refunded,2024-07-03,2024-07-15,416.57,
833005,578439,600120,wrong_item_sent,approved,2022-06-04,2022-06-25,,
878966,524850,672364,wrong_item_sent,refunded,2023-08-28,2023-09-11,299.69,Customer preferred different colour
852283,566333,610171,changed_mind,approved,2024-06-04,2024-06-16,,
835206,507701,629335,defective_product,approved,2022-08-12,2022-08-22,,Item stopped working after 2 days
849784,584948,644478,wrong_item_sent,refunded,2022-03-29,2022-04-11,168.54,Wrong size delivered
885964,517685,657552,wrong_item_sent,refunded,2023-10-08,2023-10-18,693.82,Customer preferred different colour
821780,552342,602459,duplicate_order,rejected,2021-10-21,2021-10-30,,
862464,569533,660088,duplicate_order,refunded,2022-11-27,2022-12-10,141.02,
821540,574137,657181,defective_product,received,2022-09-20,2022-09-24,,
846678,570618,676060,wrong_item_sent,approved,2022-08-30,2022-09-08,,
865200,504896,696095,changed_mind,requested,2021-10-08,,,
832435,503329,680470,defective_product,received,2022-11-21,2022-11-24,,Customer requested full refund
858969,570564,654278,changed_mind,refunded,2023-02-01,2023-02-06,280.73,
887343,504290,610728,changed_mind,rejected,2021-02-19,2021-02-25,,
898508,506831,685034,duplicate_order,refunded,2023-01-06,2023-01-20,876.85,Customer preferred different colour
833722,562123,697198,defective_product,received,2023-04-15,2023-04-20,,
872381,553404,634696,arrived_damaged,approved,2023-05-12,2023-05-27,,Item arrived in poor condition
828940,536435,686934,defective_product,approved,2021-05-16,2021-05-27,,Wrong size delivered
809044,596750,612162,arrived_damaged,refunded,2022-11-11,2022-11-25,676.98,Wrong size delivered
829711,509411,615197,duplicate_order,received,2022-07-04,2022-07-09,,
806682,541385,616011,wrong_item_sent,refunded,2022-04-07,2022-04-16,202.69,Packaging was damaged
873631,578934,677836,not_as_described,approved,2023-01-10,2023-01-31,,
805159,525948,675272,not_as_described,approved,2023-07-10,2023-07-26,,
820643,566766,695783,defective_product,received,2021-07-22,2021-07-26,,
865832,551550,643685,changed_mind,received,2024-08-24,2024-08-27,,Customer preferred different colour
884449,583330,625561,changed_mind,rejected,2023-11-18,2023-11-24,,Item stopped working after 2 days
884909,513118,692705,defective_product,received,2024-10-05,2024-10-07,,
870298,504707,651887,arrived_damaged,refunded,2023-09-18,2023-09-29,393.0,
897179,570222,656381,not_as_described,rejected,2023-12-30,2024-01-09,,
897819,504155,635676,not_as_described,approved,2022-10-07,2022-10-15,,Item arrived in poor condition
813880,582688,673524,duplicate_order,refunded,2021-08-03,2021-08-06,103.92,Item arrived in poor condition
867649,511569,622884,duplicate_order,approved,2024-06-28,2024-07-18,,Item stopped working after 2 days
810187,531312,669904,defective_product,rejected,2024-05-08,2024-05-12,,
874299,596752,644403,arrived_damaged,approved,2023-05-17,2023-05-26,,Customer requested full refund
871442,560270,640145,arrived_damaged,refunded,2023-05-07,2023-05-20,692.41,
846726,588121,636553,duplicate_order,approved,2023-06-22,2023-07-01,,Packaging was damaged
824558,511382,644879,wrong_item_sent,refunded,2021-10-05,2021-10-18,236.74,Packaging was damaged
823627,527280,682843,changed_mind,received,2021-11-28,2021-12-02,,Customer requested full refund
885124,504450,694254,duplicate_order,received,2024-10-12,2024-10-17,,Item arrived in poor condition
882984,539522,623446,arrived_damaged,rejected,2021-03-18,2021-03-22,,Item stopped working after 2 days
871373,537362,600456,changed_mind,refunded,2022-10-31,2022-11-09,106.96,Customer preferred different colour
879284,562562,689095,defective_product,requested,2023-12-18,,,Item arrived in poor condition
897391,557579,643949,duplicate_order,refunded,2023-01-21,2023-01-30,616.9,Packaging was damaged
843412,509653,622382,defective_product,approved,2023-09-01,2023-09-17,,Item stopped working after 2 days
863052,512306,618260,arrived_damaged,received,2023-06-18,2023-06-22,,
821262,592142,651542,not_as_described,refunded,2024-06-14,2024-06-25,256.71,
808314,576648,653025,wrong_item_sent,approved,2024-03-01,2024-03-12,,Wrong size delivered
828016,590953,646464,arrived_damaged,refunded,2023-02-03,2023-02-14,595.91,Item stopped working after 2 days
848719,585279,649552,not_as_described,received,2021-05-30,2021-06-06,,
809979,526252,643343,changed_mind,refunded,2021-08-16,2021-08-19,549.74,Customer preferred different colour
880004,566277,686245,not_as_described,refunded,2021-05-27,2021-06-09,426.28,
852144,559327,617683,arrived_damaged,refunded,2022-06-03,2022-06-17,318.86,Item stopped working after 2 days
857411,563542,648613,arrived_damaged,requested,2022-05-12,,,
831678,569707,693873,wrong_item_sent,refunded,2023-06-22,2023-06-26,163.83,Item stopped working after 2 days
848627,510089,608512,arrived_damaged,requested,2023-02-07,,,Wrong size delivered
848113,582040,644036,duplicate_order,refunded,2024-07-16,2024-07-29,492.08,
809061,591342,664419,defective_product,refunded,2023-06-04,2023-06-15,1849.36,
852126,585503,644192,changed_mind,approved,2022-09-11,2022-09-30,,
808841,567146,617128,not_as_described,refunded,2023-12-21,2023-12-28,220.75,Wrong size delivered
894350,597932,639257,not_as_described,received,2023-04-17,2023-04-24,,
868117,593148,667980,wrong_item_sent,refunded,2023-11-03,2023-11-16,122.03,
816750,512310,645019,arrived_damaged,refunded,2021-11-04,2021-11-12,186.28,Item arrived in poor condition
849415,558414,635413,arrived_damaged,requested,2023-11-06,,,Item stopped working after 2 days
801591,548725,674512,duplicate_order,approved,2021-11-23,2021-12-01,,Item stopped working after 2 days
814615,500190,697767,defective_product,refunded,2022-10-17,2022-10-24,45.12,Item arrived in poor condition
860499,520172,687516,wrong_item_sent,approved,2024-06-25,2024-07-08,,
851588,535665,679111,not_as_described,approved,2022-05-28,2022-06-06,,Packaging was damaged
818146,513574,611240,duplicate_order,refunded,2023-09-02,2023-09-12,317.89,
816712,536564,639390,changed_mind,refunded,2023-11-15,2023-11-18,108.09,
816975,559023,698298,defective_product,requested,2024-09-12,,,Customer preferred different colour
891536,574310,685296,wrong_item_sent,refunded,2021-12-13,2021-12-27,46.72,
820262,521174,603449,wrong_item_sent,approved,2023-06-10,2023-07-01,,
854339,576513,684030,not_as_described,approved,2023-07-19,2023-08-06,,
894493,579300,648758,changed_mind,approved,2021-07-31,2021-08-11,,
855893,593361,614758,wrong_item_sent,received,2023-03-31,2023-04-05,,Customer preferred different colour
868922,595930,654766,duplicate_order,received,2023-10-06,2023-10-13,,
821173,548295,642968,changed_mind,rejected,2022-04-30,2022-05-05,,Item stopped working after 2 days
852509,521452,628973,duplicate_order,refunded,2022-11-26,2022-12-07,980.31,
805483,541423,614949,duplicate_order,refunded,2022-04-02,2022-04-06,126.16,Item stopped working after 2 days
894721,558412,673151,duplicate_order,refunded,2022-10-21,2022-11-03,70.92,Item arrived in poor condition
880316,561937,695938,not_as_described,approved,2023-09-12,2023-09-23,,Customer requested full refund
851839,537722,673766,arrived_damaged,rejected,2022-01-31,2022-02-13,,
874500,513616,698424,wrong_item_sent,approved,2023-06-30,2023-07-15,,
852404,504567,674116,duplicate_order,refunded,2022-11-07,2022-11-19,20.88,
854284,595171,627762,not_as_described,refunded,2022-09-04,2022-09-10,288.62,Customer requested full refund
831742,587543,628641,arrived_damaged,refunded,2023-11-28,2023-12-03,311.09,Item arrived in poor condition
838686,584819,614525,not_as_described,refunded,2024-09-01,2024-09-09,254.93,Customer requested full refund
813931,528451,651956,defective_product,refunded,2022-06-08,2022-06-13,34.39,Item stopped working after 2 days
813403,595301,601158,duplicate_order,received,2024-03-28,2024-04-02,,
897412,518764,629195,duplicate_order,rejected,2022-05-22,2022-06-02,,
824001,512817,610920,not_as_described,approved,2023-05-30,2023-06-20,,Customer preferred different colour
869602,581375,606824,duplicate_order,refunded,2021-08-06,2021-08-09,252.93,
801874,597418,625942,duplicate_order,approved,2023-09-17,2023-10-03,,Customer requested full refund
828294,553885,624625,not_as_described,received,2021-02-02,2021-02-05,,Item stopped working after 2 days
834079,557372,630595,not_as_described,requested,2024-03-09,,,Item stopped working after 2 days
813186,588057,642184,wrong_item_sent,refunded,2021-02-21,2021-03-03,420.64,
888843,560101,629605,arrived_damaged,refunded,2024-02-27,2024-03-01,120.87,Item stopped working after 2 days
885689,518446,686536,not_as_described,refunded,2022-11-16,2022-11-20,985.14,
866632,529070,626778,arrived_damaged,refunded,2024-06-11,2024-06-19,572.74,Wrong size delivered
889302,572095,623118,not_as_described,approved,2024-01-30,2024-02-20,,
805918,540575,671696,duplicate_order,refunded,2021-10-15,2021-10-22,781.27,Customer preferred different colour
890495,591426,628296,duplicate_order,approved,2022-07-26,2022-08-05,,Wrong size delivered
884215,559456,685511,duplicate_order,rejected,2023-05-12,2023-05-15,,
896676,503265,627886,duplicate_order,requested,2021-06-18,,,Item arrived in poor condition
824312,556485,676098,not_as_described,refunded,2024-07-19,2024-07-25,267.48,Customer requested full refund
870423,583890,613351,defective_product,refunded,2024-01-24,2024-02-05,443.71,Wrong size delivered
837421,557270,681162,wrong_item_sent,rejected,2022-05-15,2022-05-19,,
872872,577275,639099,defective_product,received,2023-05-04,2023-05-05,,Customer requested full refund
802672,592632,665046,duplicate_order,refunded,2023-04-20,2023-05-04,794.49,Item arrived in poor condition
872139,511062,649899,wrong_item_sent,rejected,2021-06-23,2021-07-03,,Customer requested full refund
861463,540414,639475,not_as_described,refunded,2022-01-26,2022-01-30,442.99,
889975,589703,682132,duplicate_order,refunded,2021-07-12,2021-07-23,335.21,Item stopped working after 2 days
833188,500632,618559,wrong_item_sent,received,2024-05-19,2024-05-26,,
834927,541996,636529,not_as_described,refunded,2022-12-30,2023-01-04,1318.17,
865460,563004,614452,arrived_damaged,refunded,2021-02-24,2021-03-01,16.02,
821393,522936,617760,not_as_described,approved,2024-09-27,2024-10-14,,
811634,545687,656106,duplicate_order,approved,2024-02-17,2024-03-02,,
884761,502301,666008,defective_product,rejected,2022-05-18,2022-05-29,,
834254,503466,621151,wrong_item_sent,refunded,2021-10-07,2021-10-12,255.37,
854841,565327,699178,changed_mind,requested,2023-11-29,,,
864697,575384,637854,changed_mind,refunded,2023-04-13,2023-04-20,552.85,
888844,552719,669614,changed_mind,refunded,2023-03-11,2023-03-22,840.62,
830826,555612,634521,duplicate_order,refunded,2022-03-23,2022-04-04,210.25,Customer requested full refund
830013,522692,690308,wrong_item_sent,refunded,2024-04-02,2024-04-11,596.82,
843998,524787,601509,arrived_damaged,refunded,2023-06-24,2023-06-30,244.76,Wrong size delivered
853545,562549,684474,arrived_damaged,rejected,2024-02-21,2024-03-03,,Wrong size delivered
831198,591503,652148,arrived_damaged,refunded,2022-09-12,2022-09-26,269.54,
807874,571754,665281,duplicate_order,refunded,2024-06-05,2024-06-19,335.61,
872109,576613,637742,arrived_damaged,refunded,2021-02-10,2021-02-16,300.81,
817594,564517,605765,not_as_described,approved,2021-04-14,2021-05-02,,
824951,573585,609267,wrong_item_sent,refunded,2023-07-18,2023-07-25,367.02,Item stopped working after 2 days
879344,518610,676126,arrived_damaged,approved,2021-03-20,2021-04-02,,
807475,591658,629854,wrong_item_sent,refunded,2022-09-29,2022-10-12,103.44,Wrong size delivered
814363,529473,656351,arrived_damaged,refunded,2022-02-20,2022-03-05,915.5,
801528,584093,643765,defective_product,refunded,2022-06-08,2022-06-16,1981.8,Customer requested full refund
811449,588564,646249,defective_product,requested,2023-04-05,,,Packaging was damaged
871816,580565,699515,defective_product,refunded,2024-07-11,2024-07-21,514.83,Wrong size delivered
824243,534582,687636,defective_product,refunded,2024-06-11,2024-06-22,1057.23,
898938,538829,687024,arrived_damaged,refunded,2022-03-23,2022-04-02,762.84,
827948,546689,672180,duplicate_order,requested,2023-05-20,,,
804021,576591,601931,changed_mind,approved,2021-08-01,2021-08-09,,Item stopped working after 2 days
881187,550390,668496,duplicate_order,refunded,2024-04-10,2024-04-16,556.89,
850499,534424,681764,wrong_item_sent,received,2024-09-24,2024-09-26,,Item arrived in poor condition
818450,523638,678236,wrong_item_sent,requested,2021-03-13,,,
856085,539080,682842,duplicate_order,approved,2021-05-22,2021-05-30,,Customer preferred different colour
807598,599187,677778,wrong_item_sent,refunded,2022-10-01,2022-10-09,412.82,Customer preferred different colour
842360,575478,665004,duplicate_order,approved,2021-02-10,2021-02-17,,
850524,511602,645838,arrived_damaged,approved,2023-11-06,2023-11-22,,
807572,577373,668326,changed_mind,refunded,2021-05-09,2021-05-20,415.71,
821553,586354,607060,duplicate_order,refunded,2021-03-13,2021-03-19,340.36,
840969,564961,628713,wrong_item_sent,requested,2023-12-31,,,Customer preferred different colour
826410,505845,646605,defective_product,received,2022-07-31,2022-08-05,,Customer preferred different colour
857583,564316,699445,changed_mind,refunded,2021-01-27,2021-02-02,408.69,Packaging was damaged
802793,588946,608832,wrong_item_sent,rejected,2022-04-28,2022-05-01,,Wrong size delivered
849485,552597,647390,not_as_described,refunded,2022-03-21,2022-03-25,753.37,Wrong size delivered
839151,560144,695960,changed_mind,requested,2023-10-24,,,
842387,592461,640455,changed_mind,refunded,2021-08-29,2021-09-12,993.88,
850337,584647,660271,not_as_described,requested,2022-04-10,,,
808340,564668,669261,wrong_item_sent,refunded,2023-11-02,2023-11-15,816.19,Item stopped working after 2 days
803251,520987,664455,not_as_described,refunded,2024-03-20,2024-03-23,170.15,
853500,574117,643475,duplicate_order,approved,2021-05-06,2021-05-16,,
889856,554460,601506,not_as_described,received,2024-03-07,2024-03-08,,
859428,559347,616479,wrong_item_sent,refunded,2024-06-27,2024-06-30,1117.52,
808206,558223,625690,wrong_item_sent,received,2023-11-02,2023-11-09,,
828110,524454,682413,not_as_described,refunded,2023-09-17,2023-09-25,398.39,Customer preferred different colour
854530,526437,616783,not_as_described,refunded,2023-06-09,2023-06-13,475.5,
813464,553865,637933,changed_mind,refunded,2022-12-23,2023-01-03,176.04,Item stopped working after 2 days
859209,558935,602874,defective_product,approved,2024-05-31,2024-06-10,,Customer preferred different colour
809818,585436,617268,wrong_item_sent,requested,2022-03-07,,,
826847,546937,680830,duplicate_order,refunded,2024-01-06,2024-01-13,273.86,
880669,549271,602170,not_as_described,received,2024-03-25,2024-03-31,,
823327,538795,677759,arrived_damaged,approved,2021-09-10,2021-09-24,,
871508,540037,605201,changed_mind,refunded,2022-02-04,2022-02-10,369.6,
818542,518440,669232,not_as_described,approved,2022-02-12,2022-02-27,,
884456,597043,634884,not_as_described,approved,2023-05-16,2023-05-25,,
860151,548661,633553,wrong_item_sent,approved,2023-05-05,2023-05-23,,Item stopped working after 2 days
839985,530289,662367,arrived_damaged,refunded,2023-10-27,2023-11-08,344.9,
896637,528239,675267,defective_product,refunded,2021-11-02,2021-11-14,260.54,
880175,554127,607270,not_as_described,refunded,2024-07-30,2024-08-09,254.0,
878659,550512,637966,changed_mind,received,2023-10-20,2023-10-22,,
839513,597243,686837,arrived_damaged,approved,2023-05-22,2023-06-10,,
869391,561221,641680,duplicate_order,approved,2022-12-23,2023-01-06,,
884676,526864,676536,defective_product,rejected,2023-11-13,2023-11-22,,
865139,583961,663297,arrived_damaged,approved,2021-11-13,2021-11-23,,Item stopped working after 2 days
873666,564730,676951,wrong_item_sent,refunded,2022-09-19,2022-09-23,312.12,Customer requested full refund
861230,584195,631140,changed_mind,approved,2021-10-18,2021-10-26,,Wrong size delivered
807513,586486,658065,wrong_item_sent,refunded,2023-08-21,2023-09-03,437.58,
878013,598248,660973,wrong_item_sent,approved,2022-02-10,2022-02-23,,Customer preferred different colour
888410,543103,686460,wrong_item_sent,received,2024-01-31,2024-02-03,,Item arrived in poor condition
883857,541661,674898,arrived_damaged,rejected,2024-10-28,2024-11-06,,
877170,550111,628942,duplicate_order,refunded,2023-02-04,2023-02-13,875.73,Wrong size delivered
825883,543673,634332,arrived_damaged,received,2022-12-13,2022-12-17,,Item arrived in poor condition
811308,583432,606384,not_as_described,refunded,2021-03-15,2021-03-29,38.9,Item stopped working after 2 days
819442,586267,639122,not_as_described,refunded,2022-07-27,2022-07-30,1375.52,
860520,529095,667320,changed_mind,received,2021-08-19,2021-08-25,,Customer requested full refund
819966,527864,608241,arrived_damaged,requested,2024-10-07,,,Customer requested full refund
865603,509485,655617,defective_product,refunded,2021-09-15,2021-09-28,1961.9,Customer preferred different colour
871109,567146,631348,defective_product,approved,2023-12-31,2024-01-17,,
807977,574122,690417,changed_mind,requested,2023-08-21,,,
886971,599670,669378,duplicate_order,refunded,2021-12-21,2021-12-25,430.83,Item arrived in poor condition
822340,521748,658122,defective_product,rejected,2022-06-07,2022-06-10,,
888551,552990,663191,arrived_damaged,received,2023-02-18,2023-02-22,,
867219,570849,653768,arrived_damaged,approved,2022-10-25,2022-11-12,,Customer requested full refund
804552,549408,639079,not_as_described,approved,2024-08-18,2024-08-30,,Item arrived in poor condition
882822,520388,682359,arrived_damaged,approved,2023-04-17,2023-05-06,,Customer requested full refund
831429,536435,666593,duplicate_order,rejected,2021-05-16,2021-05-20,,
881619,570015,691687,arrived_damaged,refunded,2022-01-17,2022-01-23,498.47,Item arrived in poor condition
898528,562126,611269,arrived_damaged,refunded,2021-09-03,2021-09-09,230.9,Item arrived in poor condition
