order_id,customer_id,order_date,status,payment_method,shipping_method,shipping_cost,discount_pct,coupon_code,shipping_date,delivery_date,is_gift
570469,484399,2022-11-25,shipped,bank_transfer,standard,3.99,,,2022-11-26,,False
598122,460415,2022-01-01,delivered,debit_card,standard,0,20,,2022-01-06,2022-01-09,False
559464,478587,2021-07-08,delivered,debit_card,standard,9.99,20,,2021-07-12,2021-07-16,False
517797,410998,2024-02-21,delivered,paypal,express,4.99,,,2024-02-22,2024-03-01,True
564351,445698,2022-02-04,delivered,google_pay,economy,6.99,,,2022-02-05,2022-02-06,False
516159,447174,2023-11-09,delivered,credit_card,standard,0,,,2023-11-14,2023-11-20,False
559442,428757,2022-02-16,delivered,credit_card,standard,9.99,,,2022-02-19,2022-02-25,False
534849,420214,2022-12-06,delivered,debit_card,next_day,0,25,,2022-12-07,2022-12-11,False
525761,416458,2023-06-28,delivered,paypal,next_day,6.99,,,2023-06-29,2023-07-02,False
502788,493493,2023-04-26,delivered,paypal,click_and_collect,0,5,,2023-05-01,2023-05-09,False
584122,416118,2023-11-03,delivered,credit_card,standard,6.99,,,2023-11-04,2023-11-09,True
555681,450755,2021-04-22,delivered,paypal,standard,14.99,,,2021-04-26,2021-04-28,False
572456,481163,2024-02-20,delivered,debit_card,click_and_collect,6.99,,,2024-02-24,2024-02-29,False
573393,455498,2021-12-03,delivered,credit_card,standard,3.99,15,,2021-12-08,2021-12-12,False
515704,416033,2024-04-04,delivered,paypal,next_day,9.99,0,,2024-04-06,2024-04-09,True
513848,460925,2022-03-12,processing,apple_pay,standard,14.99,,,,,False
599294,475963,2022-03-13,delivered,credit_card,express,6.99,,,2022-03-18,2022-03-22,False
550298,485835,2022-11-28,delivered,bank_transfer,express,4.99,,,2022-12-03,2022-12-08,False
535519,425221,2021-06-15,delivered,debit_card,standard,4.99,,,2021-06-16,2021-06-21,False
594482,430544,2021-01-15,delivered,paypal,express,14.99,,,2021-01-19,2021-01-23,False
504602,457280,2023-07-16,delivered,debit_card,standard,6.99,,,2023-07-19,2023-07-25,False
526620,482075,2021-04-21,processing,bank_transfer,standard,14.99,,SAVE23,,,True
539985,448319,2021-09-16,delivered,paypal,standard,0,15,,2021-09-17,2021-09-21,False
527297,422344,2021-12-11,delivered,apple_pay,click_and_collect,3.99,,,2021-12-13,2021-12-20,False
577417,420557,2022-04-28,delivered,debit_card,standard,4.99,,,2022-04-29,2022-05-03,False
566044,459497,2024-06-28,delivered,debit_card,click_and_collect,3.99,15,,2024-07-03,2024-07-13,False
599615,401255,2024-04-22,returned,credit_card,click_and_collect,0,20,,2024-04-25,,False
568513,460852,2024-08-02,returned,bank_transfer,click_and_collect,3.99,0,,2024-08-05,,False
508520,424856,2023-04-22,delivered,credit_card,standard,3.99,25,,2023-04-27,2023-05-07,False
566487,458262,2021-03-23,delivered,paypal,express,14.99,10,,2021-03-24,2021-04-01,False
564673,432234,2022-07-17,cancelled,paypal,express,14.99,10,,,,False
526941,411930,2023-12-28,processing,debit_card,next_day,3.99,10,SAVE29,,,False
571876,418726,2024-09-24,shipped,debit_card,economy,6.99,,,2024-09-29,,False
561589,465860,2021-01-18,delivered,credit_card,standard,3.99,25,,2021-01-20,2021-01-25,False
558089,445433,2024-01-27,shipped,debit_card,economy,3.99,,,2024-01-28,,True
585445,458973,2023-10-05,delivered,credit_card,next_day,9.99,,,2023-10-08,2023-10-13,False
597964,401118,2024-03-17,delivered,debit_card,standard,0,0,,2024-03-22,2024-03-27,True
547073,482864,2021-01-13,delivered,credit_card,express,3.99,,,2021-01-18,2021-01-23,False
567104,460266,2024-07-14,delivered,google_pay,express,9.99,,,2024-07-17,2024-07-23,True
529156,476541,2021-04-20,pending,credit_card,standard,9.99,,,,,False
595983,450070,2022-01-11,delivered,paypal,economy,6.99,,,2022-01-15,2022-01-22,False
530675,479391,2023-06-03,delivered,paypal,standard,14.99,0,,2023-06-04,2023-06-13,False
528108,447174,2023-09-08,delivered,debit_card,express,9.99,,,2023-09-11,2023-09-12,False
553045,467792,2023-07-29,shipped,credit_card,express,0,,SAVE18,2023-07-31,,False
537219,461156,2024-04-20,delivered,credit_card,next_day,3.99,15,,2024-04-23,2024-04-26,False
599743,433807,2022-06-13,delivered,bank_transfer,standard,9.99,25,SAVE21,2022-06-14,2022-06-24,False
562245,416822,2023-01-16,delivered,paypal,click_and_collect,9.99,,,2023-01-17,2023-01-21,False
558917,416702,2022-05-25,pending,debit_card,click_and_collect,9.99,,,,,False
501825,416512,2023-03-02,cancelled,credit_card,standard,4.99,25,,,,False
532908,453330,2022-12-01,delivered,credit_card,standard,14.99,,,2022-12-06,2022-12-16,False
512359,467853,2021-03-21,processing,credit_card,standard,0,,,,,False
530480,422521,2024-01-17,cancelled,debit_card,standard,6.99,,,,,False
594038,408503,2023-02-24,delivered,debit_card,express,4.99,20,,2023-02-25,2023-02-27,False
501104,440600,2022-07-26,delivered,debit_card,standard,4.99,10,,2022-07-30,2022-08-09,False
579304,480744,2023-06-15,delivered,credit_card,standard,14.99,25,SAVE10,2023-06-17,2023-06-25,False
501632,478584,2023-04-15,delivered,credit_card,economy,3.99,,SAVE26,2023-04-18,2023-04-26,False
581617,481965,2022-10-27,delivered,debit_card,next_day,14.99,15,,2022-10-31,2022-11-05,False
514774,462096,2022-09-25,delivered,credit_card,express,3.99,0,,2022-09-26,2022-10-03,True
545758,499486,2023-05-04,delivered,credit_card,click_and_collect,14.99,,,2023-05-09,2023-05-15,False
525297,479036,2024-09-10,cancelled,debit_card,standard,6.99,,,,,False
567194,423784,2024-03-06,delivered,paypal,standard,9.99,,,2024-03-09,2024-03-14,False
583481,435279,2021-06-13,delivered,credit_card,standard,6.99,,SAVE28,2021-06-15,2021-06-19,False
554936,403251,2022-11-25,delivered,debit_card,standard,14.99,15,,2022-11-28,2022-12-06,False
503039,425124,2021-03-05,delivered,debit_card,express,6.99,,,2021-03-10,2021-03-20,False
524417,408126,2024-01-13,delivered,bank_transfer,standard,6.99,10,SAVE5,2024-01-18,2024-01-24,False
571427,408237,2022-10-15,delivered,credit_card,standard,6.99,,,2022-10-18,2022-10-19,False
516740,459293,2021-04-29,delivered,paypal,standard,9.99,,,2021-05-03,2021-05-07,True
551891,460852,2021-02-22,delivered,debit_card,express,3.99,,,2021-02-25,2021-03-04,False
517464,485078,2023-10-15,delivered,credit_card,standard,3.99,,,2023-10-18,2023-10-22,True
545702,450650,2023-11-09,delivered,debit_card,click_and_collect,9.99,,,2023-11-10,2023-11-15,False
534669,476543,2023-11-01,delivered,credit_card,express,9.99,,,2023-11-05,2023-11-07,False
521870,477710,2021-06-08,delivered,credit_card,economy,4.99,,,2021-06-11,2021-06-20,False
505179,479391,2023-03-05,delivered,debit_card,standard,14.99,15,,2023-03-09,2023-03-18,False
534336,451915,2023-05-01,cancelled,paypal,standard,4.99,,,,,False
508889,459429,2023-09-25,delivered,paypal,express,0,,,2023-09-28,2023-10-01,False
585879,451744,2022-05-06,delivered,paypal,standard,3.99,,,2022-05-10,2022-05-14,False
522332,492280,2021-02-20,delivered,bank_transfer,standard,9.99,,,2021-02-23,2021-03-03,False
530493,444909,2024-09-05,delivered,credit_card,express,4.99,,SAVE28,2024-09-07,2024-09-08,False
511140,467143,2023-02-23,delivered,google_pay,express,14.99,25,,2023-02-25,2023-03-03,False
580112,462072,2022-04-15,processing,credit_card,standard,4.99,,,,,False
504567,463201,2022-10-12,delivered,credit_card,economy,9.99,,,2022-10-17,2022-10-19,False
594917,449332,2024-09-24,delivered,bank_transfer,express,14.99,25,SAVE7,2024-09-29,2024-09-30,False
585507,464597,2022-05-29,delivered,debit_card,standard,9.99,,SAVE11,2022-06-03,2022-06-05,False
546674,413274,2024-03-30,returned,debit_card,next_day,0,,SAVE11,2024-03-31,,True
559009,436352,2021-10-21,delivered,credit_card,standard,14.99,20,,2021-10-26,2021-10-29,False
560532,485733,2021-03-22,delivered,credit_card,standard,6.99,,,2021-03-23,2021-03-26,False
517557,454732,2022-06-01,cancelled,debit_card,standard,0,,,,,False
500959,451361,2022-11-16,delivered,paypal,click_and_collect,6.99,,,2022-11-17,2022-11-18,False
535196,493387,2024-07-27,delivered,credit_card,click_and_collect,0,20,,2024-07-29,2024-08-03,False
599347,480753,2024-08-25,cancelled,credit_card,standard,6.99,10,SAVE24,,,False
536634,440673,2021-06-12,cancelled,paypal,economy,6.99,,,,,False
508688,478584,2024-02-03,delivered,paypal,standard,14.99,,,2024-02-05,2024-02-08,False
502579,422460,2021-05-11,delivered,apple_pay,standard,14.99,15,,2021-05-15,2021-05-21,False
507418,423784,2023-09-08,delivered,paypal,standard,9.99,,,2023-09-13,2023-09-15,False
592704,448559,2023-02-04,processing,credit_card,express,0,,,,,False
590458,451201,2024-08-06,delivered,debit_card,standard,3.99,,,2024-08-09,2024-08-19,False
564847,420214,2024-01-20,delivered,apple_pay,click_and_collect,0,25,SAVE25,2024-01-23,2024-02-01,False
590369,404273,2022-03-24,delivered,credit_card,standard,4.99,10,,2022-03-26,2022-03-29,False
577537,461263,2022-06-14,pending,paypal,standard,0,,,,,False
592294,469065,2022-02-08,shipped,apple_pay,standard,4.99,15,,2022-02-09,,False
535666,413346,2022-11-19,delivered,debit_card,economy,9.99,20,,2022-11-23,2022-11-29,False
513068,415098,2021-07-18,cancelled,credit_card,express,0,0,,,,True
574059,418070,2023-07-05,delivered,paypal,express,3.99,,,2023-07-09,2023-07-11,False
528192,453884,2023-07-01,delivered,paypal,economy,9.99,,,2023-07-04,2023-07-08,False
520913,405776,2024-02-10,pending,debit_card,standard,3.99,,SAVE16,,,False
535484,466666,2023-09-21,processing,paypal,next_day,3.99,25,,,,False
548658,459255,2023-03-15,delivered,bank_transfer,standard,14.99,,,2023-03-20,2023-03-27,False
531483,422843,2021-10-16,cancelled,credit_card,economy,14.99,20,,,,False
572199,404822,2021-11-22,pending,apple_pay,express,6.99,20,SAVE26,,,False
584311,424149,2023-02-09,delivered,credit_card,click_and_collect,3.99,15,,2023-02-14,2023-02-21,False
509867,485362,2021-08-16,processing,debit_card,standard,6.99,10,SAVE26,,,False
507798,439930,2023-02-21,delivered,debit_card,express,4.99,0,,2023-02-25,2023-03-02,False
581446,448449,2021-09-01,delivered,bank_transfer,express,9.99,,,2021-09-04,2021-09-06,False
563271,461282,2022-05-10,processing,debit_card,express,4.99,,,,,False
593662,458479,2024-06-10,pending,google_pay,standard,9.99,,,,,False
580756,426607,2024-02-18,delivered,credit_card,standard,3.99,,SAVE22,2024-02-22,2024-02-25,False
540575,408965,2021-09-18,delivered,credit_card,express,4.99,15,SAVE6,2021-09-22,2021-10-01,False
512948,475378,2021-02-22,delivered,apple_pay,express,0,10,,2021-02-24,2021-02-28,False
583137,423006,2022-09-14,returned,credit_card,standard,4.99,,,2022-09-18,,False
518932,427871,2023-08-14,cancelled,debit_card,standard,14.99,,,,,True
518900,415855,2022-09-06,cancelled,bank_transfer,standard,9.99,,,,,False
598389,468561,2022-11-22,delivered,debit_card,standard,0,10,SAVE28,2022-11-24,2022-12-03,False
536313,466115,2023-05-16,shipped,paypal,express,4.99,,,2023-05-17,,False
571301,461263,2022-07-30,delivered,credit_card,standard,6.99,,SAVE5,2022-08-04,2022-08-09,False
561029,460981,2023-05-24,delivered,debit_card,express,4.99,,,2023-05-25,2023-06-04,False
503691,486805,2023-07-28,delivered,paypal,standard,4.99,,,2023-07-31,2023-08-04,False
576989,446908,2022-06-07,delivered,debit_card,standard,6.99,,,2022-06-11,2022-06-16,False
595707,443995,2022-02-14,delivered,credit_card,next_day,9.99,15,,2022-02-16,2022-02-21,False
596387,422521,2021-08-07,delivered,paypal,click_and_collect,0,,,2021-08-12,2021-08-17,False
573140,436848,2023-07-12,delivered,paypal,standard,4.99,,SAVE19,2023-07-13,2023-07-14,False
562215,485597,2022-01-09,delivered,debit_card,standard,4.99,15,,2022-01-12,2022-01-21,False
519794,418664,2024-02-10,delivered,debit_card,standard,14.99,,,2024-02-13,2024-02-15,False
597571,403404,2022-07-24,returned,paypal,click_and_collect,14.99,,,2022-07-27,,False
551088,492955,2023-02-19,processing,debit_card,standard,9.99,,,,,False
533522,493387,2024-02-18,delivered,credit_card,standard,0,,SAVE23,2024-02-21,2024-02-29,False
575279,470455,2024-02-08,returned,debit_card,click_and_collect,14.99,5,,2024-02-13,,False
553329,459694,2023-03-16,delivered,debit_card,next_day,0,,,2023-03-20,2023-03-25,False
526828,432765,2022-06-25,delivered,paypal,standard,0,,,2022-06-26,2022-06-27,False
524029,415953,2023-12-25,delivered,credit_card,standard,14.99,,,2023-12-30,2024-01-05,False
523259,475132,2024-04-12,delivered,debit_card,express,4.99,5,SAVE20,2024-04-17,2024-04-24,False
548915,429035,2023-12-29,delivered,debit_card,express,3.99,,,2024-01-02,2024-01-03,False
510240,446919,2024-06-28,processing,credit_card,standard,4.99,,SAVE19,,,False
565012,427606,2023-08-13,shipped,bank_transfer,economy,4.99,15,,2023-08-17,,False
539131,439748,2023-12-15,delivered,paypal,click_and_collect,14.99,0,,2023-12-16,2023-12-20,False
518894,461149,2022-11-10,delivered,debit_card,standard,3.99,,,2022-11-15,2022-11-18,False
524316,466467,2022-02-15,delivered,apple_pay,click_and_collect,9.99,,,2022-02-16,2022-02-19,False
537960,416926,2021-11-01,delivered,credit_card,express,4.99,5,SAVE7,2021-11-03,2021-11-05,False
501833,408853,2023-06-01,delivered,bank_transfer,click_and_collect,6.99,,,2023-06-03,2023-06-09,False
534736,491010,2021-11-30,shipped,credit_card,economy,0,,,2021-12-03,,False
590950,424856,2022-06-17,processing,debit_card,express,9.99,0,,,,False
584631,443017,2021-06-05,delivered,bank_transfer,next_day,9.99,10,,2021-06-07,2021-06-15,False
588270,445698,2022-02-09,delivered,credit_card,standard,14.99,,,2022-02-11,2022-02-14,False
528047,450755,2021-10-14,delivered,apple_pay,standard,0,,,2021-10-19,2021-10-23,False
522595,473272,2024-02-12,delivered,debit_card,economy,3.99,,,2024-02-16,2024-02-24,True
554947,443724,2023-12-07,delivered,google_pay,express,0,,,2023-12-11,2023-12-14,True
513065,416716,2022-08-29,delivered,credit_card,click_and_collect,3.99,15,,2022-08-31,2022-09-01,False
514140,481958,2022-04-09,processing,paypal,standard,4.99,25,,,,False
569936,426765,2022-01-24,delivered,google_pay,next_day,6.99,,,2022-01-29,2022-01-30,False
581508,432053,2023-07-16,delivered,paypal,next_day,4.99,,,2023-07-17,2023-07-19,False
506765,440737,2021-01-17,delivered,google_pay,economy,0,,,2021-01-19,2021-01-21,False
504645,403153,2022-09-16,delivered,credit_card,express,0,20,,2022-09-18,2022-09-21,False
525220,444650,2024-08-02,cancelled,credit_card,next_day,4.99,,SAVE21,,,False
540039,424149,2021-05-09,pending,debit_card,standard,4.99,,SAVE15,,,False
550144,456848,2024-01-02,delivered,paypal,standard,0,5,,2024-01-03,2024-01-06,False
568922,442830,2023-09-14,delivered,paypal,economy,4.99,,SAVE20,2023-09-18,2023-09-28,False
556573,454646,2021-10-26,pending,debit_card,express,0,,,,,False
513004,499937,2021-05-25,returned,debit_card,standard,14.99,,,2021-05-28,,False
590117,406005,2024-03-20,delivered,debit_card,express,0,,,2024-03-24,2024-04-01,False
550001,432397,2023-07-02,delivered,bank_transfer,express,6.99,,,2023-07-06,2023-07-10,False
528195,492489,2024-01-28,delivered,apple_pay,standard,4.99,0,,2024-01-31,2024-02-08,False
506587,486203,2022-04-17,delivered,bank_transfer,express,4.99,,SAVE15,2022-04-21,2022-04-25,False
562244,455320,2024-04-25,delivered,paypal,standard,6.99,15,,2024-04-28,2024-05-08,False
501572,477664,2022-09-02,delivered,credit_card,next_day,6.99,,,2022-09-06,2022-09-12,False
519570,431476,2023-06-15,shipped,credit_card,economy,14.99,0,,2023-06-20,,False
571585,400935,2023-04-01,delivered,bank_transfer,standard,9.99,,,2023-04-05,2023-04-06,False
552344,484399,2022-09-29,delivered,paypal,click_and_collect,6.99,,,2022-10-03,2022-10-04,False
558805,416735,2024-07-06,delivered,debit_card,express,14.99,,,2024-07-10,2024-07-14,False
591024,402592,2021-07-11,shipped,debit_card,standard,0,,SAVE25,2021-07-16,,False
585563,442636,2023-11-30,cancelled,credit_card,next_day,3.99,,,,,False
522260,409351,2024-01-06,cancelled,bank_transfer,economy,6.99,20,,,,False
507351,401084,2022-06-19,delivered,debit_card,click_and_collect,4.99,,,2022-06-21,2022-06-27,False
519850,471188,2021-03-17,pending,debit_card,economy,4.99,20,,,,False
504606,488112,2022-01-17,processing,google_pay,express,9.99,,,,,False
504167,447067,2021-01-11,delivered,paypal,standard,3.99,,,2021-01-15,2021-01-22,False
577929,416512,2023-04-04,delivered,debit_card,express,0,5,,2023-04-08,2023-04-17,False
543938,444669,2021-02-23,cancelled,credit_card,economy,4.99,,SAVE18,,,False
530991,434340,2021-07-24,delivered,debit_card,express,9.99,,,2021-07-28,2021-08-07,False
551239,427606,2023-06-01,delivered,paypal,standard,14.99,,,2023-06-05,2023-06-08,True
554277,423942,2023-04-22,delivered,credit_card,standard,14.99,,,2023-04-23,2023-05-01,False
594560,483422,2021-08-17,delivered,paypal,express,4.99,10,,2021-08-18,2021-08-20,False
517765,437237,2024-09-05,delivered,debit_card,standard,6.99,10,,2024-09-06,2024-09-11,False
509185,427556,2023-06-07,delivered,bank_transfer,standard,14.99,,SAVE22,2023-06-10,2023-06-13,False
574873,479084,2024-06-04,shipped,paypal,standard,6.99,5,,2024-06-05,,False
547237,448404,2022-10-25,pending,credit_card,standard,6.99,,,,,True
525767,481163,2022-06-16,delivered,paypal,standard,4.99,0,,2022-06-17,2022-06-27,False
553643,443724,2023-11-06,shipped,credit_card,standard,3.99,,,2023-11-11,,False
571264,432285,2021-12-19,delivered,bank_transfer,click_and_collect,9.99,25,,2021-12-24,2022-01-01,False
576466,451234,2021-06-10,delivered,bank_transfer,standard,3.99,,,2021-06-13,2021-06-19,False
504086,461282,2022-12-26,delivered,paypal,standard,4.99,,,2022-12-30,2023-01-04,False
501307,436352,2021-07-22,delivered,apple_pay,standard,0,,SAVE23,2021-07-23,2021-08-01,False
544428,408503,2022-11-30,shipped,paypal,express,3.99,,,2022-12-04,,False
560928,459338,2023-08-26,cancelled,debit_card,standard,6.99,,SAVE15,,,False
562363,460925,2023-03-17,delivered,paypal,express,3.99,10,,2023-03-18,2023-03-21,False
579287,438150,2024-09-04,delivered,paypal,express,0,,,2024-09-05,2024-09-06,False
541024,491544,2024-09-27,shipped,paypal,economy,3.99,,,2024-10-01,,True
503935,426379,2021-12-25,processing,paypal,next_day,4.99,25,,,,False
507855,468733,2024-01-10,processing,debit_card,click_and_collect,6.99,10,,,,False
512554,420811,2024-05-09,pending,credit_card,standard,4.99,5,,,,False
564871,465350,2022-02-28,delivered,credit_card,express,3.99,25,,2022-03-03,2022-03-06,False
531902,461282,2023-01-11,delivered,credit_card,express,3.99,,,2023-01-12,2023-01-18,False
517899,497776,2022-05-20,pending,paypal,standard,9.99,,SAVE27,,,True
543717,474949,2022-09-24,processing,bank_transfer,standard,3.99,,SAVE12,,,False
573804,437237,2021-03-23,delivered,paypal,standard,9.99,,,2021-03-26,2021-03-29,True
501615,422521,2022-07-19,delivered,credit_card,standard,3.99,,,2022-07-22,2022-08-01,False
503407,446081,2023-11-10,delivered,credit_card,express,14.99,,,2023-11-12,2023-11-18,False
560475,452870,2021-12-10,shipped,credit_card,standard,14.99,,SAVE10,2021-12-14,,False
528336,471012,2021-08-25,delivered,credit_card,express,4.99,5,,2021-08-29,2021-09-03,False
580653,422745,2021-04-23,delivered,bank_transfer,standard,0,15,SAVE16,2021-04-25,2021-04-29,False
560486,474942,2024-06-02,delivered,credit_card,standard,14.99,25,,2024-06-05,2024-06-06,True
511727,475963,2022-07-31,delivered,credit_card,express,0,15,,2022-08-01,2022-08-04,False
524839,484550,2022-06-21,cancelled,credit_card,next_day,14.99,,SAVE13,,,False
598649,473196,2023-01-01,processing,paypal,click_and_collect,4.99,,SAVE8,,,False
504536,441599,2023-03-11,delivered,debit_card,standard,6.99,0,SAVE9,2023-03-13,2023-03-18,True
585766,403404,2023-10-18,delivered,credit_card,standard,0,,,2023-10-22,2023-10-26,False
559175,461263,2023-05-24,delivered,paypal,standard,6.99,15,,2023-05-29,2023-06-04,False
522500,490310,2023-02-24,pending,paypal,standard,0,0,,,,False
521003,484550,2021-12-03,delivered,debit_card,express,9.99,,SAVE13,2021-12-07,2021-12-16,False
512258,474593,2022-01-13,delivered,google_pay,express,9.99,,SAVE21,2022-01-14,2022-01-21,False
514307,425612,2021-03-13,returned,paypal,standard,6.99,,,2021-03-14,,False
526764,462072,2021-08-31,delivered,paypal,economy,0,25,,2021-09-02,2021-09-03,False
570849,448559,2022-10-15,delivered,credit_card,next_day,0,,,2022-10-19,2022-10-28,False
549895,430721,2023-07-19,delivered,credit_card,standard,4.99,,,2023-07-24,2023-07-30,True
574235,485597,2023-05-27,pending,debit_card,express,14.99,,SAVE7,,,False
505407,487453,2021-05-11,delivered,credit_card,express,4.99,,,2021-05-14,2021-05-21,False
597418,424685,2023-08-31,delivered,apple_pay,standard,0,,,2023-09-02,2023-09-12,False
566757,411109,2022-12-31,delivered,credit_card,standard,6.99,15,,2023-01-04,2023-01-08,False
561946,487097,2022-07-31,delivered,credit_card,standard,4.99,,SAVE16,2022-08-04,2022-08-07,False
509905,425929,2021-03-31,returned,paypal,standard,14.99,,,2021-04-03,,False
585863,461866,2023-02-10,delivered,debit_card,express,4.99,,,2023-02-14,2023-02-18,False
551098,426667,2023-03-29,shipped,credit_card,express,4.99,,,2023-03-30,,False
564961,458517,2023-12-11,returned,credit_card,economy,9.99,,,2023-12-14,,False
518682,404370,2023-12-13,shipped,debit_card,next_day,3.99,,,2023-12-14,,False
524331,464418,2021-07-17,shipped,credit_card,economy,0,,,2021-07-19,,False
515722,433496,2022-07-13,processing,debit_card,express,0,,SAVE21,,,False
503270,401268,2021-01-19,delivered,debit_card,next_day,0,,,2021-01-23,2021-01-30,False
533277,409556,2023-09-14,delivered,debit_card,standard,0,,,2023-09-19,2023-09-28,False
541446,427508,2024-08-25,delivered,credit_card,standard,4.99,,,2024-08-28,2024-08-31,False
593053,406376,2022-01-15,delivered,credit_card,standard,3.99,0,SAVE8,2022-01-17,2022-01-25,True
536612,444352,2022-08-15,delivered,paypal,express,3.99,,,2022-08-16,2022-08-21,True
597449,467143,2024-05-09,processing,debit_card,click_and_collect,0,0,SAVE30,,,False
553413,448319,2022-08-11,returned,credit_card,standard,6.99,,,2022-08-16,,False
514663,435296,2022-02-11,processing,credit_card,next_day,9.99,,,,,False
565008,446267,2021-05-14,delivered,credit_card,standard,9.99,,,2021-05-16,2021-05-19,False
514543,440788,2024-03-03,delivered,debit_card,standard,9.99,,,2024-03-04,2024-03-11,False
574642,458271,2024-03-31,cancelled,credit_card,express,3.99,,,,,False
521913,435822,2021-02-12,shipped,credit_card,express,9.99,20,,2021-02-16,,False
571717,490756,2021-06-15,delivered,credit_card,standard,14.99,15,,2021-06-19,2021-06-29,False
508965,485200,2024-03-25,delivered,apple_pay,next_day,9.99,,,2024-03-28,2024-04-01,False
562123,454646,2023-04-10,delivered,debit_card,standard,4.99,,SAVE17,2023-04-13,2023-04-18,True
500824,495036,2023-03-21,delivered,bank_transfer,standard,14.99,,,2023-03-26,2023-03-31,False
559609,481958,2021-01-19,cancelled,credit_card,click_and_collect,0,0,SAVE19,,,True
533663,409556,2024-04-03,delivered,paypal,standard,3.99,5,,2024-04-07,2024-04-13,False
540159,428256,2022-11-19,processing,paypal,standard,0,,,,,False
532096,440593,2024-06-12,delivered,debit_card,standard,3.99,25,,2024-06-17,2024-06-24,False
553354,422468,2022-06-16,delivered,paypal,standard,14.99,0,,2022-06-18,2022-06-22,False
